ID,Feature_Alpha,Feature_Beta,Feature_Gamma,Feature_Delta,Feature_Epsilon,Feature_Zeta,Feature_Eta,Feature_Theta,Target_Value
1670,48.815999999999995,456.0,5.7823529411764705,1.088235294117647,6.2422232654551655,3.0176470588235293,34.25,-118.38,2.315
4258,6.1426,32.0,6.621973929236499,0.9702048417132216,1381.0,2.5716945996275604,33.63,-117.9,4.507
14090,2.4653,38.0,4.130681818181818,0.9829545454545454,559.0,3.1761363636363638,36.21,-119.1,0.495
8948,6.7196,23.0,7.158045977011494,1.0057471264367817,863.0,2.4798850574712645,32.79,-117.04,3.068
14116,42.404,336.0,6.144654088050315,1.0188679245283019,6.2878585601617845,3.3773584905660377,34.44,-119.84,2.743
6239,27.012,432.0,3.9957686882933707,1.0155148095909732,7.67275789664251,3.0296191819464036,34.12,-118.19,1.721
16565,37.321,492.0,4.5863539445629,1.0085287846481876,6.996681488176539,2.328358208955224,37.34,-121.94,2.5
1144,1.8689,25.0,4.360169491525424,1.0169491525423728,2529.0,3.5720338983050848,38.52,-121.41,0.668
17955,59.114000000000004,552.0,6.079470198675497,1.0562913907284768,6.643789733147672,2.5397350993377485,37.72,-122.47,3.99
8036,40.641999999999996,492.0,5.794520547945205,1.0356164383561643,7.063903961472068,3.2,37.73,-122.41,2.725
8829,3.9395,33.0,4.9409221902017295,0.9812680115273775,1798.0,2.590778097982709,37.67,-122.12,1.847
7054,6.1563,13.0,6.3392070484581495,1.0440528634361232,557.0,2.4537444933920707,35.44,-118.93,2.042
15851,2.5208,21.0,4.858247422680412,1.0257731958762886,1539.0,3.966494845360825,35.68,-119.24,0.585
16659,54.20099999999999,108.0,8.48326359832636,1.1213389121338913,7.285506548522785,3.0502092050209204,34.49,-117.23,1.706
12419,7.105,13.0,5.942959001782532,1.0071301247771836,2240.0,3.9928698752228162,37.39,-121.88,2.739
2070,22.841,624.0,4.35064935064935,1.077922077922078,5.030437921392435,1.974025974025974,37.85,-122.27,1.063
7332,10.625,384.0,3.557077625570776,0.9178082191780822,6.759255270663693,3.9315068493150687,33.93,-118.24,0.898
2963,8.496,34.0,7.825970548862115,1.0508701472556894,1817.0,2.43239625167336,32.82,-117.26,5.00001
3049,5.9582,18.0,7.485477178423237,1.1784232365145229,600.0,2.4896265560165975,37.94,-122.52,5.00001
4235,6.5253,14.0,6.559139784946237,1.016726403823178,2415.0,2.8853046594982077,38.51,-121.55,2.168
18759,3.3438,50.0,5.102787456445993,1.024390243902439,1931.0,3.3641114982578397,34.13,-118.2,1.736
7494,35.562,516.0,5.033846153846154,0.9969230769230769,6.675823221634848,2.436923076923077,36.98,-122.0,2.392
13680,4.3125,34.0,4.996710526315789,0.9901315789473685,758.0,2.4934210526315788,33.94,-117.99,2.14
646,2.3869,16.0,4.792613636363637,0.9886363636363636,568.0,1.6136363636363635,37.68,-122.16,0.833
4146,2.9392,46.0,3.8774038461538463,0.9519230769230769,966.0,2.3221153846153846,34.13,-118.27,2.303
1340,51.7,468.0,6.190804597701149,1.0988505747126436,7.106606137727303,2.802298850574713,34.16,-118.52,3.354
7598,3.8864,29.0,5.16,1.1175,1265.0,3.1625,33.85,-118.01,2.093
429,2.3617,6.0,4.726438698915763,1.1551292743953294,2447.0,2.040867389491243,34.51,-117.34,1.031
5812,43.036,624.0,5.763333333333334,1.0633333333333332,6.792344427470809,2.966666666666667,37.72,-122.45,2.618
2177,52.82,372.0,6.227848101265823,1.018987341772152,6.0473721790462776,2.670886075949367,32.79,-117.14,1.83
15161,2.65,30.0,11.12206572769953,2.2018779342723005,510.0,2.3943661971830985,39.24,-120.04,1.238
9741,5.2855,31.0,6.851301115241636,1.0483271375464684,749.0,2.7843866171003717,37.71,-122.09,2.535
6650,4.6719,32.0,5.03781512605042,0.9621848739495799,814.0,3.4201680672268906,37.36,-121.98,2.521
7463,21.078000000000003,516.0,4.7075208913649025,1.0557103064066853,6.925595197110468,2.832869080779944,34.03,-118.36,1.335
15558,66.7,132.0,6.4950678175092476,0.998766954377312,8.391629968440892,2.718249075215783,33.8,-117.79,2.832
7964,4.0398,23.0,5.154782608695652,1.0469565217391303,3570.0,3.1043478260869564,33.77,-117.85,2.331
16176,24.444,552.0,5.109014675052411,1.0524109014675052,7.049254841255837,2.4129979035639413,34.03,-118.34,1.341
8876,3.6833,33.0,6.102362204724409,1.0905511811023623,638.0,2.5118110236220472,37.91,-122.07,2.925
17949,49.090999999999994,420.0,7.158371040723982,1.1221719457013575,6.484635235635252,2.9592760180995477,34.14,-117.85,2.75
1267,2.9583,52.0,5.2727272727272725,1.1263858093126387,940.0,2.084257206208426,38.02,-122.13,1.66
15226,38.068,408.0,4.630996309963099,0.9870848708487084,7.324489979348532,2.7970479704797047,34.22,-118.25,2.67
19734,2.7596,32.0,4.969418960244648,1.0244648318042813,1212.0,3.706422018348624,33.97,-117.36,0.822
3346,4.6173,15.0,6.0566929133858265,1.0661417322834645,2360.0,3.716535433070866,37.75,-121.45,1.648
17107,3.7045,52.0,4.720430107526882,1.0,393.0,2.1129032258064515,37.5,-122.26,3.605
6597,4.0208,52.0,5.395833333333333,1.0277777777777777,362.0,2.513888888888889,37.28,-121.95,2.625
6571,3.2292,52.0,7.075313807531381,1.2594142259414225,618.0,2.585774058577406,36.47,-120.95,2.25
79,23.929000000000002,372.0,3.7445054945054945,1.1758241758241759,7.5485559791698735,5.211538461538462,33.97,-118.16,1.911
11091,68.588,36.0,8.640701071080818,1.2677702044790653,8.068402958569699,3.107108081791626,33.64,-117.49,3.02
19614,3.556,52.0,4.342105263157895,1.0394736842105263,841.0,2.213157894736842,37.88,-122.29,1.793
11396,5.5925,13.0,5.757981462409886,1.043254376930999,3188.0,3.283213182286303,34.3,-118.9,2.086
18756,3.069,35.0,5.317280453257791,0.9291784702549575,1155.0,3.271954674220963,36.81,-119.79,0.696
5239,1.7756,19.0,5.009708737864078,1.0323624595469256,1227.0,3.970873786407767,37.28,-120.47,0.733
4814,2.3043,28.0,3.590909090909091,1.0669856459330143,1028.0,2.45933014354067,33.91,-118.29,1.775
18586,6.7099,50.0,7.503521126760563,1.0352112676056338,753.0,2.6514084507042255,34.11,-118.11,3.522
12655,35.0,312.0,6.373493975903615,1.3975903614457832,5.2574953720277815,2.3012048192771086,38.92,-120.0,1.036
3962,2.5804,34.0,5.390029325513196,1.0219941348973607,2653.0,3.8900293255131966,33.97,-117.37,0.924
7449,61.009,180.0,7.195652173913044,1.0608695652173914,7.007600613951853,2.4,33.34,-117.19,3.144
9246,51.498,420.0,7.256130790190736,1.0544959128065394,6.99117688712121,2.9591280653950953,37.71,-122.09,2.664
1122,10.5575,32.0,7.344,1.0275555555555556,2712.0,2.4106666666666667,34.13,-118.4,5.00001
6466,43.687,396.0,4.851063829787234,1.0243161094224924,7.409136443920128,5.015197568389058,33.82,-118.27,1.735
692,26.21,336.0,4.790152403282533,1.0211019929660023,7.587817219993427,2.313012895662368,34.1,-117.76,2.022
20356,3.1597,29.0,6.4,1.1551020408163266,848.0,3.4612244897959186,32.78,-115.56,0.762
11183,4.8281,11.0,5.525606469002695,1.0296495956873315,1044.0,2.8140161725067387,34.03,-117.64,1.37
6968,30.441,240.0,4.4932502596054,1.0768431983385254,7.739359202689098,2.3842159916926273,34.09,-117.91,1.854
5757,3.9722,36.0,5.850467289719626,0.9766355140186916,558.0,2.607476635514019,33.81,-118.11,2.356
806,48.17,192.0,6.332129963898917,1.0252707581227436,6.651571873589727,2.7906137184115525,38.67,-121.19,1.47
16479,17.224999999999998,600.0,3.6004098360655736,1.069672131147541,7.640603826393634,4.262295081967213,34.04,-118.3,1.8
8446,40.0,624.0,4.647058823529412,1.0484429065743945,7.239214973779806,2.4083044982698962,37.78,-122.45,3.553
4160,56.889,396.0,7.150313152400835,1.0668058455114822,7.332369205929062,3.1899791231732775,32.66,-117.06,2.346
12455,3.0588,37.0,4.914798206278027,1.0201793721973094,1515.0,3.396860986547085,32.72,-117.03,1.206
18684,36.68,228.0,4.544658493870402,1.0875656742556918,7.455298485683291,3.0262697022767076,33.47,-117.69,2.438
288,3.2396,33.0,5.46,1.076,825.0,3.3,32.85,-115.57,0.623
6936,32.105000000000004,336.0,5.91820580474934,1.0527704485488127,7.289610521451167,3.862796833773087,34.08,-117.18,0.903
19599,19.875,204.0,5.076086956521739,1.5434782608695652,6.115892125483034,2.4565217391304346,33.07,-116.26,0.837
19359,24.25,468.0,5.832844574780059,1.1759530791788857,6.692083742506628,2.3607038123167157,34.14,-117.29,0.9
10039,49.75,360.0,8.28,1.08,4.927253685157205,2.74,37.75,-122.13,3.111
13869,21.65,408.0,5.304950495049505,1.0554455445544555,7.160845906664299,2.5485148514851486,39.53,-122.19,0.587
4956,4.4881,36.0,5.759776536312849,0.9804469273743017,1134.0,3.1675977653631286,33.92,-118.16,2.189
1937,34.219,420.0,4.597765363128492,0.9720670391061452,7.674152921281675,4.005586592178771,33.92,-118.04,1.562
14390,2.0972,36.0,3.0126582278481013,1.0901898734177216,3561.0,5.6344936708860756,37.33,-121.88,1.875
13216,25.07,360.0,3.96375,1.0775,7.6624678152002375,2.6575,32.64,-117.09,1.427
8628,3.7798,27.0,4.76962457337884,1.0341296928327646,1702.0,2.9044368600682593,34.22,-118.57,2.584
16777,1.6522,37.0,4.897435897435898,1.0073260073260073,767.0,2.8095238095238093,35.31,-119.0,0.533
12717,1.6625,43.0,3.85,1.011764705882353,1182.0,3.476470588235294,33.94,-118.27,0.887
6497,2.7634,37.0,1.4112903225806452,0.9879032258064516,1122.0,4.524193548387097,34.05,-118.27,1.375
5673,5.0206,8.0,6.5,0.9862068965517241,835.0,2.8793103448275863,34.95,-120.4,2.61
1237,20.745,420.0,4.176229508196721,1.0573770491803278,7.707062655370473,3.0368852459016393,34.02,-118.47,3.325
7736,1.9107,15.0,5.951923076923077,1.5384615384615385,287.0,2.7596153846153846,40.79,-123.48,0.792
6462,42.30800000000001,588.0,6.328671328671328,1.013986013986014,6.914730892718563,2.344988344988345,38.12,-122.23,1.458
13236,2.5,19.0,6.153153153153153,1.2522522522522523,302.0,2.720720720720721,40.28,-120.96,0.641
10486,4.2333,32.0,4.666666666666667,1.0936936936936936,1132.0,2.0396396396396397,33.92,-118.41,3.58
7806,32.115,444.0,4.136518771331058,1.0375426621160408,6.981934677156389,3.6723549488054608,33.78,-118.28,1.601
9710,29.406,288.0,5.1160092807424595,1.0893271461716938,7.767687277186908,2.7401392111368907,36.77,-119.73,0.73
356,5.0814,25.0,5.29404309252218,1.0544993662864386,2123.0,2.6907477820025347,33.8,-118.34,4.468
20273,4.6923,44.0,5.322222222222222,1.0177777777777777,1287.0,2.86,33.96,-118.38,2.99
6579,5.0917,17.0,6.125954198473282,0.9847328244274809,748.0,2.854961832061069,38.58,-121.34,1.341
4585,23.561999999999998,336.0,4.174545454545455,1.0963636363636364,7.15305163493748,2.321818181818182,32.65,-117.08,1.238
16424,20.043000000000003,432.0,5.264150943396227,1.326145552560647,6.907755278982137,2.692722371967655,37.97,-121.33,0.908
13829,4.4286,52.0,5.433537832310838,1.0224948875255624,1131.0,2.312883435582822,37.9,-122.29,2.349
16647,2.4722,16.0,4.722298221614227,1.0820793433652531,1567.0,2.143638850889193,38.47,-122.67,1.943
9120,6.0712,22.0,5.658008658008658,0.9805194805194806,1240.0,2.683982683982684,37.23,-121.91,2.718
19006,50.766,480.0,5.6,1.0980392156862746,6.5638555265321274,2.776470588235294,38.01,-122.65,3.054
3784,12.367,28.0,8.014634146341463,1.053658536585366,594.0,2.897560975609756,37.34,-122.08,5.00001
15688,2.6875,39.0,3.6332518337408315,1.1418092909535453,758.0,1.8533007334963325,34.43,-119.7,3.206
1984,2.725,39.0,2.4382716049382718,0.9814814814814815,620.0,3.8271604938271606,32.69,-117.11,0.865
19943,29.647000000000002,132.0,5.180218446601942,0.9969660194174758,8.348774539791274,2.563106796116505,38.49,-121.38,1.089
10634,37.958,396.0,5.696796338672769,1.068649885583524,7.853993087224244,2.946224256292906,34.09,-117.72,1.525
19430,38.156,156.0,6.522340425531915,1.1063829787234043,8.306472160100585,4.3074468085106385,33.28,-117.28,1.507
3593,19.427,504.0,4.136666666666667,1.03,6.71174039505618,2.736666666666667,37.78,-122.29,1.022
12634,34.426,264.0,5.794594594594595,1.0162162162162163,7.0909098220799835,3.2432432432432434,39.15,-121.66,1.024
7378,48.125,264.0,4.811940298507463,0.9970149253731343,7.266827347520591,4.271641791044776,34.17,-119.15,1.944
6969,3.3871,3.0,5.4960686204431735,1.104360257326662,3804.0,2.719085060757684,34.49,-117.29,1.118
7619,5.1104,30.0,5.280442804428044,1.003690036900369,1387.0,2.559040590405904,37.27,-121.93,2.781
13263,3.2377,32.0,4.5215901302261825,1.0822481151473613,3689.0,2.528444139821796,34.15,-118.01,1.841
16001,6.2519,26.0,7.330464716006885,1.0120481927710843,1644.0,2.82960413080895,33.82,-118.08,3.457
5391,3.6997,24.0,3.991812865497076,1.1005847953216374,4210.0,1.6413255360623782,34.14,-118.14,2.25
57,8.7124,15.0,8.042735042735043,1.0897435897435896,1448.0,3.094017094017094,33.84,-117.76,4.105
1574,1.9946,16.0,4.853131749460043,1.0842332613390928,1206.0,2.6047516198704104,40.51,-122.34,1.192
4627,2.6042,25.0,5.250596658711217,1.0477326968973748,1045.0,2.4940334128878283,39.22,-121.09,1.167
3862,6.3809,18.0,7.113013698630137,1.0205479452054795,937.0,3.208904109589041,37.94,-122.01,2.736
10517,5.6454,52.0,5.086142322097379,1.0187265917602997,574.0,2.149812734082397,34.04,-118.42,5.00001
16096,28.980999999999998,384.0,4.002232142857143,1.0625,7.042286171939743,2.5513392857142856,34.03,-118.48,3.536
1764,4.3261,36.0,5.60655737704918,0.9929742388758782,1490.0,3.489461358313817,34.21,-118.52,2.067
13774,1.8696,52.0,4.62962962962963,1.0462962962962963,480.0,4.444444444444445,32.71,-117.14,0.911
2591,13.362,216.0,4.822299651567945,1.083623693379791,7.265429723253953,4.979094076655052,32.57,-117.06,0.95
9376,2.875,39.0,3.8655256723716382,1.0953545232273838,1934.0,2.3643031784841075,34.08,-118.28,2.135
10523,50.0,336.0,5.434316353887399,0.9544235924932976,7.68017564043659,2.900804289544236,34.25,-118.49,2.58
16849,21.705000000000002,120.0,5.03,1.18,5.43372200355424,2.28,37.87,-122.3,1.5
6231,1.845,24.0,3.1207977207977207,1.0273504273504273,2863.0,1.6313390313390312,34.1,-118.35,2.375
9923,29.783,228.0,5.093514328808446,1.009049773755656,7.794411205726601,3.659125188536953,37.66,-120.9,0.825
15937,34.821,192.0,5.008988764044944,1.0292134831460673,7.090076835776092,2.69438202247191,37.75,-121.44,1.706
11266,35.732,60.0,4.640919366993217,1.1126601356443104,8.747034264178168,2.370384325546345,34.67,-118.15,1.469
2790,35.268,276.0,4.894308943089431,1.0975609756097562,6.016157159698354,3.3252032520325203,34.09,-118.05,1.464
4799,150.001,540.0,10.37065637065637,1.0926640926640927,6.754604099487962,3.3088803088803087,34.09,-118.4,5.00001
1696,64.385,288.0,5.693726937269373,0.948339483394834,6.715383386334681,3.040590405904059,34.04,-118.09,2.726
9245,6.5372,52.0,7.166666666666667,1.1124031007751938,695.0,2.693798449612403,37.75,-122.46,3.94
18436,7.2692,40.0,6.816425120772947,1.070048309178744,907.0,2.1908212560386473,34.13,-118.31,4.987
10478,30.972,372.0,5.359882005899705,1.0973451327433628,6.900730664045173,2.926253687315634,38.63,-121.3,1.5
9732,3.6415,15.0,7.491891891891892,1.335135135135135,703.0,3.8,34.01,-117.37,1.242
9701,3.7396,13.0,12.774709302325581,2.7252906976744184,1274.0,1.8517441860465116,33.8,-116.49,1.489
15441,3.6422,26.0,4.3539094650205765,0.9547325102880658,891.0,3.6666666666666665,34.94,-120.45,1.206
20146,3.8958,6.0,4.267015706806283,1.0296684118673647,1189.0,2.075043630017452,37.63,-122.02,3.011
15701,19.362,396.0,4.210216110019647,0.9587426326129665,7.457609289715606,3.4027504911591357,35.6,-119.34,0.59
1592,17.935000000000002,348.0,3.745398773006135,1.138036809815951,7.508238774678663,5.588957055214724,33.87,-117.93,1.625
704,39.762,168.0,5.796803652968037,1.0639269406392695,7.148345743900068,2.901826484018265,40.58,-122.26,1.385
4881,32.447,144.0,4.936859147328656,1.0286022665947112,8.446126742982377,2.5126821370750134,37.7,-121.01,1.422
3926,22.0,588.0,5.1875,1.0972222222222223,6.416732282512326,2.1215277777777777,37.74,-122.15,1.875
18811,8.8612,24.0,7.901639344262295,1.0163934426229508,1514.0,2.757741347905282,34.25,-118.51,5.00001
4376,19.907999999999998,396.0,4.491048593350383,1.0549872122762147,7.323830566202317,1.9373401534526855,38.61,-121.4,1.188
19964,1.625,32.0,4.582491582491582,1.2222222222222223,1483.0,4.993265993265993,35.38,-118.97,0.468
9409,30.169999999999998,228.0,8.096666666666666,1.53,6.784457062637643,2.9433333333333334,38.86,-120.02,0.976
9791,14.958,372.0,4.5,0.9505208333333334,7.0630481633881725,3.0390625,39.09,-121.55,0.534
19122,2.2269,17.0,5.020435967302452,1.055858310626703,1714.0,2.335149863760218,38.74,-120.83,1.283
324,40.333,384.0,5.495176848874598,1.0643086816720257,7.602900462204755,3.220257234726688,34.06,-117.94,2.102
1653,5.5422,32.0,5.123595505617978,1.0299625468164795,1279.0,2.3951310861423223,33.66,-117.89,2.531
8305,2.4497,7.0,4.823389021479714,1.1842482100238663,6274.0,2.994749403341289,33.81,-116.47,0.909
15211,49.589,144.0,5.918275418275418,1.0566280566280566,8.374015421739909,2.787644787644788,34.01,-117.81,2.821
19241,43.281,624.0,5.3812154696132595,1.0497237569060773,6.0014148779611505,2.226519337016575,36.62,-121.92,2.365
14945,5.09,14.0,6.658341658341659,1.2297702297702298,2026.0,2.023976023976024,33.03,-117.07,2.685
9288,40.022999999999996,396.0,5.156944444444444,0.9972222222222222,7.653020413804189,2.925,34.13,-117.88,1.855
3945,58.418,180.0,6.831460674157303,0.9325842696629213,6.35088571671474,3.2134831460674156,38.0,-122.27,2.403
9796,27.5,228.0,3.735632183908046,0.8505747126436781,5.872117789475416,4.068965517241379,33.93,-118.24,0.906
12584,5.0156,52.0,5.752532561505065,1.036179450072359,1515.0,2.1924746743849495,37.78,-122.45,5.00001
4130,5.1741,16.0,5.80327868852459,1.0204918032786885,636.0,2.6065573770491803,33.7,-117.79,2.277
1870,9.318,420.0,2.803339517625232,1.1001855287569573,6.818924065275521,1.6957328385899815,33.78,-118.19,1.875
15927,32.125,312.0,4.352,1.0026666666666666,6.395261598115449,1.5946666666666667,33.63,-117.9,4.55
11799,3.2937,33.0,5.317647058823529,1.0676470588235294,824.0,2.4235294117647057,38.16,-121.69,0.964
16591,35.214,180.0,3.0499445061043287,1.106548279689234,7.277938572945661,1.6059933407325193,37.63,-122.43,1.442
1726,34.844,336.0,5.18018018018018,0.9436936936936937,7.180069874302796,2.954954954954955,34.08,-117.42,1.277
15755,39.718,156.0,5.035478547854786,1.0882838283828382,8.00202481821611,2.463696369636964,34.18,-119.21,2.152
7961,3.9423,39.0,5.5096525096525095,1.1833976833976834,1338.0,2.583011583011583,37.15,-122.13,1.803
15479,25.680999999999997,420.0,5.050650557620818,1.0343866171003717,9.198267790741914,4.590613382899628,38.27,-121.94,0.813
14012,5.0574,37.0,5.530487804878049,1.0030487804878048,850.0,2.591463414634146,33.8,-118.1,2.408
5857,3.625,6.0,5.40463645943098,1.1791359325605901,2533.0,2.6691253951527925,34.05,-117.66,1.136
4278,108.04500000000002,528.0,5.494845360824742,0.9278350515463918,5.676753802268282,3.0,34.06,-118.42,5.00001
14200,1.712,36.0,6.307228915662651,1.2891566265060241,651.0,3.9216867469879517,37.75,-122.18,0.821
16936,3.1505,30.0,4.266666666666667,1.0206896551724138,899.0,2.066666666666667,33.88,-118.33,2.7
13583,72.812,408.0,7.135652173913043,1.031304347826087,8.052614818815567,2.7313043478260868,34.22,-118.27,4.622
19918,3.3125,22.0,4.069986541049798,1.0148048452220726,2357.0,3.172274562584118,33.75,-117.99,1.918
20519,3.4643,16.0,5.072423398328691,1.0027855153203342,969.0,2.6991643454039,40.31,-120.49,0.851
1747,16.488,264.0,3.5757575757575757,0.9862258953168044,7.149131598557407,3.5041322314049586,34.65,-120.46,1.175
18068,5.2121,32.0,4.294964028776978,1.0629496402877698,1009.0,1.814748201438849,33.98,-118.46,4.667
12881,42.125,192.0,5.820253164556962,1.0202531645569621,7.1276936993473985,3.151898734177215,34.96,-120.41,1.483
10732,31.719,468.0,5.759075907590759,1.0594059405940595,6.804614520062624,2.9735973597359737,36.75,-119.73,0.679
